sentence_id,lang,flores_code,text,domain,topic
60,eng,eng_Latn,Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.,wikinews,Economy and business
61,eng,eng_Latn,"During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".",wikinews,Economy and business
62,eng,eng_Latn,"Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.",wikinews,Crime and Law
63,eng,eng_Latn,"The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.",wikinews,Crime and Law
64,eng,eng_Latn,"The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.",wikinews,Crime and Law
65,eng,eng_Latn,Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.,wikinews,Crime and Law
66,eng,eng_Latn,"After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",wikinews,Crime and Law
67,eng,eng_Latn,"When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.",wikinews,Crime and Law
68,eng,eng_Latn,"Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.",wikinews,Crime and Law
69,eng,eng_Latn,"The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.",wikinews,Crime and Law
70,eng,eng_Latn,"The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.",wikinews,Crime and Law
71,eng,eng_Latn,"The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.",wikinews,Crime and Law
72,eng,eng_Latn,"As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.",wikinews,Crime and Law
73,eng,eng_Latn,"A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.",wikinews,Crime and Law
74,eng,eng_Latn,"Moreover, top judge Evangelos Kalousis is imprisoned as he found guilty of corruption and degenerate behaviour.",wikinews,Crime and Law
75,eng,eng_Latn,"Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.",wikinews,Politics
76,eng,eng_Latn,"He did, however, reiterate his earlier statement that Roe v. Wade was the ""settled law of the land"", emphasizing the importance of consistent Supreme Court rulings.",wikinews,Politics
77,eng,eng_Latn,He also confirmed that he believed in the implied right to privacy which the Roe decision depended upon.,wikinews,Politics
78,eng,eng_Latn,"Maroochydore had finished on top of the ladder, six points clear of Noosa in second.",wikinews,Sport
79,eng,eng_Latn,The two sides would meet in the major semi final where Noosa ran out winners by 11 points.,wikinews,Sport
80,eng,eng_Latn,Maroochydore then defeated Caboolture in the Preliminary Final.,wikinews,Sport
81,eng,eng_Latn,Hesperonychus elizabethae is a species of the family Dromaeosauridae and is a cousin of Velociraptor .,wikinews,science
82,eng,eng_Latn,"This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.",wikinews,science
83,eng,eng_Latn,"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""",wikinews,Science
84,eng,eng_Latn,"In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.",wikinews,Weather
85,eng,eng_Latn,Pittman suggested that conditions wouldn't improve until sometime next week.,wikinews,Weather
86,eng,eng_Latn,"The amount and thickness of the pack ice, according to Pittman, is the worst it has been for sealers in the past 15 years.",wikinews,Weather
87,eng,eng_Latn,News spread in the Red Lake community today as funerals for Jeff Weise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21.,wikinews,Crime and law
88,eng,eng_Latn,Authorities said little officially beyond confirming today's arrest.,wikinews,Crime and law
89,eng,eng_Latn,"However, a source with knowledge of the investigation told the Minneapolis Star-Tribune that it was Louis Jourdain, 16-year old son of Red Lake Tribal Chairman Floyd Jourdain.",wikinews,Crime and law
90,eng,eng_Latn,It is not known at this time what charges will be laid or what led authorities to the boy but juvenile proceedings have begun in federal court.,wikinews,Crime and law
91,eng,eng_Latn,Lodin also said officials decided to cancel the runoff in order to save Afghans the expense and security risk of another election.,wikinews,Politics
92,eng,eng_Latn,Diplomats said that they had found enough ambiguity in the Afghan constitution to determine the runoff as unnecessary.,wikinews,Politics
93,eng,eng_Latn,"This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.",wikinews,Politics
94,eng,eng_Latn,The aircraft had been headed to Irkutsk and was being operated by interior troops.,wikinews,Tragety
95,eng,eng_Latn,An inquiry was established to investigate.,wikinews,Tragety
96,eng,eng_Latn,"The Il-76 has been a major component of both the Russian and Soviet military since the 1970s, and had already seen a serious accident in Russia last month.",wikinews,Tragety
97,eng,eng_Latn,"On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.",wikinews,Tragety
98,eng,eng_Latn,"800 miles of the Trans-Alaska Pipeline System were closed down following a spill of thousands of barrels of crude oil south of Fairbanks, Alaska.",wikinews,Disaster
99,eng,eng_Latn,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,wikinews,Disaster
100,eng,eng_Latn,"The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).",wikinews,Disaster
101,eng,eng_Latn,"As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.",wikinews,Disaster
102,eng,eng_Latn,"Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.",wikinews,Disaster
103,eng,eng_Latn,"The comments, live on television, were the first time that senior Iranian sources have admitted that the sanctions are having any effect.",wikinews,Politics
104,eng,eng_Latn,"They include financial restrictions and a ban by the European Union on the export of crude oil, from which the Iranian economy receives 80% of its foreign income.",wikinews,Politics
105,eng,eng_Latn,"In its most recent monthly report, OPEC said exports of crude had fallen to their lowest level for two decades at 2.8 million barrels per day.",wikinews,Politics
106,eng,eng_Latn,"The country's supreme leader, Ayatollah Ali Khamenei, has described the dependency on oil as ""a trap"" dating from before Iran's Islamic revolution in 1979 and from which the country should free itself.",wikinews,Politics
107,eng,eng_Latn,"When the capsule gets to Earth and enters the atmosphere, at about 5am (eastern time), it is expected to put on quite a light show for folks in Northern California, Oregon, Nevada, and Utah.",wikinews,Science
108,eng,eng_Latn,The capsule will look much like a shooting star going across the sky.,wikinews,Science
109,eng,eng_Latn,"The capsule will be traveling at about 12.8 km or 8 miles per second, fast enough to go from San Francisco to Los Angeles in one minute.",wikinews,Science
110,eng,eng_Latn,"Stardust will set a new all-time record for being the fastest spacecraft to return to Earth, breaking the previous record set in May of 1969 during the return of the Apollo X command module.",wikinews,Science
111,eng,eng_Latn,"“It will move over the west coast of northern California and will light the sky from California through central Oregon and on through Nevada and Idaho and into Utah,” Tom Duxbury, Stardust's project manager said.",wikinews,Science
112,eng,eng_Latn,"Mr. Rudd's decision to sign the Kyoto climate accord isolates the United States, which will now be the only developed nation not to ratify the agreement.",wikinews,climate
113,eng,eng_Latn,"Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.",wikinews,climate
114,eng,eng_Latn,It is the biggest acquisition in eBay's history.,wikinews,Science and technology
115,eng,eng_Latn,"The company hopes to diversify its profit sources and gain popularity in areas where Skype holds a strong position, such as China, Eastern Europe, and Brazil.",wikinews,Science and technology
116,eng,eng_Latn,Scientists have suspected Enceladus as geologically active and a possible source of Saturn's icy E ring.,wikinews,Science and technology
117,eng,eng_Latn,"Enceladus is the most reflective object in the solar system, reflecting about 90 percent of the sunlight that hits it.",wikinews,Science and technology
118,eng,eng_Latn,The game publisher Konami stated today in a Japanese newspaper that they will not be releasing the game Six Days in Fallujah.,wikinews,Culture and entertainment
119,eng,eng_Latn,"The game is based on the Second Battle of Fallujah, a vicious battle between American and Iraqi forces.",wikinews,Culture and entertainment
120,eng,eng_Latn,"The ACMA also found that despite the video being streamed on the Internet, Big Brother had not breached online content censorship laws as the media had not been stored on Big Brother's website.",wikinews,Politics and conflicts
121,eng,eng_Latn,"The Broadcasting Services Act provides for the regulation of Internet content, however to be considered Internet content, it must physically reside on a server.",wikinews,Politics and conflicts
122,eng,eng_Latn,"The United States embassy located in Nairobi, Kenya has issued a warning that ""extremists from Somalia"" are planning to launch suicide bomb attacks in Kenya and Ethiopia.",wikinews,Politics and conflicts
123,eng,eng_Latn,"The U.S. says it has received information from an undisclosed source that specifically mentions the use of suicide bombers to will blow up ""prominent landmarks"" in Ethiopia and Kenya.",wikinews,Politics and conflicts
124,eng,eng_Latn,"Long before The Daily Show and The Colbert Report, Heck and Johnson envisioned a publication that would parody the news—and news reporting—when they were students at UW in 1988.",wikinews,entertainment
125,eng,eng_Latn,"Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.",wikinews,entertainment
126,eng,eng_Latn,Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).,wikinews,entertainment
127,eng,eng_Latn,Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.,wikinews,entertainment
128,eng,eng_Latn,The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.,wikinews,entertainment
129,eng,eng_Latn,"The city will be the first in southeastern Europe to host CowParade, the world's largest public art event, between June and August this year.",wikinews,entertainment
130,eng,eng_Latn,Today's announcement also extended the government's commitment made in March of this year to fund extra carriages.,wikinews,politics
131,eng,eng_Latn,"An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.",wikinews,politics
132,eng,eng_Latn,"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.",wikinews,crime
133,eng,eng_Latn,"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".",wikinews,crime
134,eng,eng_Latn,"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",wikinews,environment
135,eng,eng_Latn,"Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",wikinews,environment
136,eng,eng_Latn,The algae produces a neurotoxin that can disable nerves in both humans and fish.,wikinews,environment
137,eng,eng_Latn,Fish often die because of the high concentrations of the toxin in the waters.,wikinews,environment
138,eng,eng_Latn,Humans can be affected by breathing affected water taken into the air by wind and waves.,wikinews,environment
139,eng,eng_Latn,"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .",wikinews,environment
140,eng,eng_Latn,"By early today, winds were around 83 km/h, and it was expect to keep weakening.",wikinews,environment
141,eng,eng_Latn,"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.",wikinews,sport
142,eng,eng_Latn,The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,wikinews,sport
143,eng,eng_Latn,"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",wikinews,science
144,eng,eng_Latn,"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.",wikinews,science
145,eng,eng_Latn,"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.",wikinews,business
146,eng,eng_Latn,"With this arrangement in place, this freedom might end.",wikinews,business
147,eng,eng_Latn,The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,wikinews,business
148,eng,eng_Latn,The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,wikinews,business
149,eng,eng_Latn,Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,wikinews,business
150,eng,eng_Latn,Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.,wikinews,business
151,eng,eng_Latn,"In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).",wikinews,business
152,eng,eng_Latn,"Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.",wikinews,business
153,eng,eng_Latn,This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.,wikinews,Science
154,eng,eng_Latn,"Out of the approximately 24,000 known meteorites to have fallen to Earth, only about 34 have been verified to be martian in origin.",wikinews,Science
155,eng,eng_Latn,Fifteen of these rocks are attributed to the meteorite shower last July.,wikinews,Science
156,eng,eng_Latn,"Some of the rocks, which are very rare on Earth, are being sold from US$11,000 to $22,500 per ounce, which is about ten times more than the cost of gold.",wikinews,Science
157,eng,eng_Latn,"Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points.",wikinews,Sport
158,eng,eng_Latn,"Seven points behind, Johnson is second with 2,243.",wikinews,Sport
159,eng,eng_Latn,"In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.",wikinews,Sport
160,eng,eng_Latn,"Stewart, Gordon, Kenseth, and Harvick round out the top-ten positions for the Drivers' Championship with four races remaining in the season.",wikinews,Sport
161,eng,eng_Latn,The US Navy also said they were investigating the incident.,wikinews,Accident
162,eng,eng_Latn,"They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".",wikinews,Accident
163,eng,eng_Latn,"An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan.",wikinews,Accident
164,eng,eng_Latn,"It is assigned to the U.S. Navy’s Seventh Fleet and based in Sasebo, Nagasaki in Japan.",wikinews,Accident
165,eng,eng_Latn,"The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.",wikinews,Law and crime
166,eng,eng_Latn,David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.,wikinews,Law and crime
167,eng,eng_Latn,The attack put a huge strain on relations between India and Pakistan.,wikinews,Law and crime
168,eng,eng_Latn,"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.",wikinews,Politics
169,eng,eng_Latn,"Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case.""",wikinews,Politics
170,eng,eng_Latn,"The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient.""",wikinews,Politics
171,eng,eng_Latn,"He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""",wikinews,Politics
172,eng,eng_Latn,"If confirmed, the find completes Allen's eight-year search for the Musashi.",wikinews,Discovery
173,eng,eng_Latn,Following seabed mapping the wreck was found using an ROV.,wikinews,Discovery
174,eng,eng_Latn,"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.",wikinews,Discovery
175,eng,eng_Latn,She gained critical acclaim during her time in Atlanta and was recognized for innovative urban education.,wikinews,
176,eng,eng_Latn,In 2009 she was awarded the title of National Superintendent of the Year.,wikinews,Law and crime
177,eng,eng_Latn,"At the time of the award, Atlanta schools had seen a large improvement on test scores.",wikinews,Law and crime
178,eng,eng_Latn,"Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.",wikinews,Law and crime
179,eng,eng_Latn,"The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.",wikinews,Law and crime
180,eng,eng_Latn,"Evidence thereafter indicated test papers were tampered with Hall, along with 34 other education officials, was indicted in 2013.",wikinews,Law and crime
181,eng,eng_Latn,The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.,wikinews,Health
182,eng,eng_Latn,"""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.",wikinews,Health
183,eng,eng_Latn,"The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.",wikinews,Health
184,eng,eng_Latn,Jarque was practicing during pre-season training at Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,wikinews,Sports
185,eng,eng_Latn,He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,wikinews,Sports
186,eng,eng_Latn,The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.,wikinews,Disasters and accidents
187,eng,eng_Latn,"At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.",wikinews,Disasters and accidents
188,eng,eng_Latn,"As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian.",wikinews,Disasters and accidents
189,eng,eng_Latn,The typhoon is estimated to be moving toward China at eleven kph.,wikinews,Disasters and accidents
190,eng,eng_Latn,Passengers were given water as they waited in 90(F)-degree heat.,wikinews,Culture and entertainment
191,eng,eng_Latn,"Fire captain Scott Kouns said, ""It was a hot day in the Santa Clara with temperatures in the 90s.",wikinews,Culture and entertainment
192,eng,eng_Latn,"Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride.""",wikinews,Culture and entertainment
193,eng,eng_Latn,"Schumacher who retired in 2006 after winning the Formula 1 championship seven times, was due to replace the injured Felipe Massa.",wikinews,Sports
194,eng,eng_Latn,The Brazilian suffered a serious head injury after a crash during the 2009 Hungarian Grand Prix.,wikinews,Sports
195,eng,eng_Latn,Massa is due to be out for at least the rest of the 2009 season.,wikinews,Sports
196,eng,eng_Latn,"Arias tested positive for a mild case of the virus, Presidential Minister Rodrigo Arias said.",wikinews,Disease
197,eng,eng_Latn,"The president's condition is stable, though he will be isolated at home for several days.",wikinews,Disease
198,eng,eng_Latn,"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",wikinews,Disease
199,eng,eng_Latn,"I expect to return to all my duties on Monday,"" Arias said in a statement.",wikinews,Disease
0,hin,hin_Deva,"सोमवार को, स्टैनफ़ोर्ड यूनिवर्सिटी स्कूल ऑफ़ मेडिसिन के वैज्ञानिकों ने एक नए डायग्नोस्टिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के आधार पर छाँट सकता है: एक छोटी प्रिंट करने योग्य चिप जिसे स्टैण्डर्ड इंकजेट प्रिंटर का उपयोग करके लगभग एक अमेरिकी सेंट के लिए निर्मित किया जा सकता है.",wikinews,health
1,hin,hin_Deva,"शोधकर्ताओं ने कहा है कि यह अल्प आय वाले देशों में कैंसर, टीवी, एचआईवी और मलेरिया के रोगियों की आसानी से पहचान करेगा, जहाँ अमीर देशों की तुलना में स्तन कैंसर जैसी बीमारी में जीवित रहने की दर आधी हो सकती है.",wikinews,health
2,hin,hin_Deva,"स्थानीय समय (0230 UTC) के मुताबिक करीब 9:30 बजे JAS 39C Gripen रनवे पर धमाके के साथ दुर्घटनाग्रस्त हो गया, जिसकी वजह से वाणिज्यिक उड़ानों के लिए हवाई अड्डे को बंद कर दिया गया.",wikinews,accident
3,hin,hin_Deva,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,wikinews,accident
4,hin,hin_Deva,स्थानीय मीडिया ने बताया है कि कार्रवाई करने के दौरान एयरपोर्ट का अग्निशामक वाहन लुढ़क गया था.,wikinews,accident
